2026-01-06 16:25:53 [background-preinit] INFO  o.h.validator.internal.util.Version - HV000001: Hibernate Validator 8.0.1.Final
2026-01-06 16:25:53 [main] INFO  com.ruoyi.RuoYiApplication - Starting RuoYiApplication using Java 17.0.9 with PID 13068 (F:\wms\WMS\ruoyi\wms-ruoyi-master\ruoyi-admin-wms\target\classes started by 浦颖昊 in F:\wms\WMS\ruoyi)
2026-01-06 16:25:53 [main] INFO  com.ruoyi.RuoYiApplication - The following 1 profile is active: "dev"
2026-01-06 16:26:07 [main] INFO  io.undertow.servlet - Initializing Spring embedded WebApplicationContext
2026-01-06 16:26:09 [main] INFO  c.b.d.d.DynamicRoutingDataSource - dynamic-datasource detect P6SPY plugin and enabled it
2026-01-06 16:26:09 [main] INFO  com.zaxxer.hikari.HikariDataSource - master - Starting...
2026-01-06 16:26:10 [main] INFO  com.zaxxer.hikari.pool.HikariPool - master - Added connection com.mysql.cj.jdbc.ConnectionImpl@2d3768ce
2026-01-06 16:26:10 [main] INFO  com.zaxxer.hikari.HikariDataSource - master - Start completed.
2026-01-06 16:26:10 [main] INFO  c.b.d.d.DynamicRoutingDataSource - dynamic-datasource - add a datasource named [slave] success
2026-01-06 16:26:10 [main] INFO  c.b.d.d.DynamicRoutingDataSource - dynamic-datasource - add a datasource named [master] success
2026-01-06 16:26:10 [main] INFO  c.b.d.d.DynamicRoutingDataSource - dynamic-datasource initial loaded [2] datasource,primary datasource named [master]
2026-01-06 16:26:14 [main] INFO  c.b.d.d.DynamicRoutingDataSource - dynamic-datasource start closing ....
2026-01-06 16:26:14 [main] INFO  c.b.d.d.d.DefaultDataSourceDestroyer - dynamic-datasource close the datasource named [slave] success,
2026-01-06 16:26:14 [main] INFO  com.zaxxer.hikari.HikariDataSource - master - Shutdown initiated...
2026-01-06 16:26:14 [main] INFO  com.zaxxer.hikari.HikariDataSource - master - Shutdown completed.
2026-01-06 16:26:14 [main] INFO  c.b.d.d.d.DefaultDataSourceDestroyer - dynamic-datasource close the datasource named [master] success,
2026-01-06 16:26:14 [main] INFO  c.b.d.d.DynamicRoutingDataSource - dynamic-datasource all closed success,bye
2026-01-06 16:26:54 [background-preinit] INFO  o.h.validator.internal.util.Version - HV000001: Hibernate Validator 8.0.1.Final
2026-01-06 16:26:55 [main] INFO  com.ruoyi.RuoYiApplication - Starting RuoYiApplication using Java 17.0.9 with PID 28668 (F:\wms\WMS\ruoyi\wms-ruoyi-master\ruoyi-admin-wms\target\classes started by 浦颖昊 in F:\wms\WMS\ruoyi)
2026-01-06 16:26:55 [main] INFO  com.ruoyi.RuoYiApplication - The following 1 profile is active: "dev"
2026-01-06 16:27:03 [main] INFO  io.undertow.servlet - Initializing Spring embedded WebApplicationContext
2026-01-06 16:27:04 [main] INFO  c.b.d.d.DynamicRoutingDataSource - dynamic-datasource detect P6SPY plugin and enabled it
2026-01-06 16:27:04 [main] INFO  com.zaxxer.hikari.HikariDataSource - master - Starting...
2026-01-06 16:27:05 [main] INFO  com.zaxxer.hikari.pool.HikariPool - master - Added connection com.mysql.cj.jdbc.ConnectionImpl@4965454c
2026-01-06 16:27:05 [main] INFO  com.zaxxer.hikari.HikariDataSource - master - Start completed.
2026-01-06 16:27:05 [main] INFO  c.b.d.d.DynamicRoutingDataSource - dynamic-datasource - add a datasource named [slave] success
2026-01-06 16:27:05 [main] INFO  c.b.d.d.DynamicRoutingDataSource - dynamic-datasource - add a datasource named [master] success
2026-01-06 16:27:05 [main] INFO  c.b.d.d.DynamicRoutingDataSource - dynamic-datasource initial loaded [2] datasource,primary datasource named [master]
2026-01-06 16:27:09 [main] INFO  c.r.common.redis.config.RedisConfig - 初始化 redis 配置
2026-01-06 16:27:09 [main] INFO  org.redisson.Version - Redisson 3.29.0
2026-01-06 16:27:10 [redisson-netty-1-5] INFO  o.r.connection.ConnectionsHolder - 1 connections initialized for localhost/127.0.0.1:6379
